id,code,caption,colorDark,colorLight,isActive,createdAt,updatedAt
a43740f8-e8f2-4e9d-8b05-e2725dce49b6,300,Acessar as Planilhas,#4CAF50,#C4F1C8,true,Wed Jan 07 2026 00:14:46 GMT-0300 (Horário Padrão de Brasília),Fri Jan 09 2026 09:59:31 GMT-0300 (Horário Padrão de Brasília)
2b4e2ce1-79f6-430c-8336-5bca42f2bab7,500,(Originiais) Documentos do Relatório de Estágio,#FF9800,#F3E0C1,true,Wed Jan 07 2026 00:14:46 GMT-0300 (Horário Padrão de Brasília),Sun Jan 11 2026 11:28:16 GMT-0300 (Horário Padrão de Brasília)
faa07190-bae4-439b-891a-5cda04e9b535,400,(Originiais) Modelos de Declarações,#F44336,#FFEBEE,true,Wed Jan 07 2026 00:14:46 GMT-0300 (Horário Padrão de Brasília),Sun Jan 11 2026 11:28:23 GMT-0300 (Horário Padrão de Brasília)
6812add3-44c5-410d-8245-6747b13760ff,700,Como fazer,#9C27B0,#F3E5F5,false,Wed Jan 07 2026 00:14:46 GMT-0300 (Horário Padrão de Brasília),Mon Jan 12 2026 14:28:21 GMT-0300 (Horário Padrão de Brasília)
13e58390-204f-4862-8252-1069b889b536,600,(Originiais) Documentos Diversos,#f41f74,#ffe5ff,true,Thu Jan 08 2026 23:08:14 GMT-0300 (Horário Padrão de Brasília),Sun Jan 11 2026 11:28:06 GMT-0300 (Horário Padrão de Brasília)
497e5dc0-a23f-4953-aee0-bf76be543ec9,200,Imprimir Declarações,#2196F3,#E3F2FD,true,Fri Jan 09 2026 09:57:04 GMT-0300 (Horário Padrão de Brasília),Fri Jan 09 2026 09:59:40 GMT-0300 (Horário Padrão de Brasília)
c384cef3-e875-4724-adf5-35fe1313eefa,100,Imprimir Documentos,#2196F3,#E3F2FD,true,Wed Jan 07 2026 00:14:46 GMT-0300 (Horário Padrão de Brasília),Thu Jan 22 2026 08:00:42 GMT-0300 (Horário Padrão de Brasília)
